Account Name,Client ID,Entity Type,State,County,Fiscal Year,EIN,SSN Last 4,Linked Contacts,Tax Profile,Tax Jurisdiction,Period Month,Tax Year,Filing Form,Filing Frequency,Due Date,Filing Status,Amount Due,Custom Deadline Note
"Harbor & Pine Family Office",HPFO-2026-001,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal S corporation income tax,Federal,January,2026,1120-S,Annual,2026-03-16,Filed,0,"Annual S corp return for client business profile"
"Harbor & Pine Family Office",HPFO-2026-002,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal payroll tax,Federal,January,2026,941,Quarterly,2026-01-31,Filed,12650.00,"Q4 prior-year payroll return"
"Harbor & Pine Family Office",HPFO-2026-003,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,January,2026,CDTFA-401-A,Monthly,2026-02-29,Filed,1840.25,"January CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-004,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",California S corporation franchise tax,California,February,2026,CA 100S,Annual,2026-03-16,Ready for review,800,"CA minimum franchise tax and S corp filing"
"Harbor & Pine Family Office",HPFO-2026-005,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",California payroll tax,California,February,2026,DE 9,Quarterly,2026-02-02,Filed,3210.75,"State payroll return for prior quarter"
"Harbor & Pine Family Office",HPFO-2026-006,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,February,2026,CDTFA-401-A,Monthly,2026-03-31,Open,1915.90,"February CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-007,Partnership,California,San Francisco,Calendar Year,98-7654321,,"Alex Harbor; Priya Pine",Federal partnership income tax,Federal,March,2026,1065,Annual,2026-03-16,Ready for review,0,"Related investment partnership K-1 package"
"Harbor & Pine Family Office",HPFO-2026-008,Partnership,California,San Francisco,Calendar Year,98-7654321,,"Alex Harbor; Priya Pine",California partnership return,California,March,2026,CA 565,Annual,2026-03-16,Ready for review,0,"State partnership return"
"Harbor & Pine Family Office",HPFO-2026-009,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,March,2026,CDTFA-401-A,Monthly,2026-04-30,Open,2010.10,"March CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-010,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",Individual income tax,Federal,April,2026,1040,Annual,2026-04-15,Needs client documents,0,"Owner individual Form 1040 profile"
